playlist_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popular,predicted_probability
3,0.599,0.619,-6.575,0.0523,0.002,1.49e-06,0.117,0.121,128.041,229947,0,0.6639400278258261
4,0.636,0.459,-10.313,0.0366,0.392,0.0,0.113,0.183,116.628,329947,0,0.6285681142281844
4,0.62,0.443,-8.145,0.375,0.297,4.25e-05,0.119,0.581,87.423,219900,0,0.5303265473311444
3,0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,157067,0,0.92042601688971
6,0.681,0.803,-5.451,0.327,0.0357,0.0,0.107,0.547,180.138,251240,0,0.6920809745051036
1,0.587,0.957,-4.534,0.0412,0.00388,0.708,0.546,0.0352,127.997,181455,0,0.0
1,0.675,0.785,-7.666,0.049,0.000656,0.0238,0.0862,0.267,128.005,412714,0,0.01814582615313482
6,0.589,0.541,-10.087,0.163,0.122,0.00414,0.0882,0.236,133.97,184013,0,0.4588157751914246
4,0.533,0.664,-7.485,0.0735,0.369,0.0,0.0977,0.508,179.819,199013,0,0.7832653923044925
2,0.757,0.632,-6.83,0.0549,0.499,0.0,0.0723,0.742,122.936,235133,1,0.8382820481423692
6,0.739,0.578,-8.561,0.23,0.813,0.0,0.11,0.5,143.953,174560,0,0.5769313018904024
4,0.505,0.34,-9.005,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,1,0.9087307789370986
2,0.592,0.783,-5.291,0.251,0.34,0.0216,0.0575,0.498,143.952,170000,0,0.36939177370684023
4,0.41,0.298,-11.796,0.0473,0.721,0.0,0.158,0.142,109.651,246972,1,0.7798685128426318
5,0.446,0.764,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094,223840,1,0.6385350731342421
1,0.644,0.512,-4.581,0.0345,0.405,0.000135,0.0702,0.48,117.513,119258,0,0.43148239898218926
5,0.506,0.764,-12.239,0.046,0.144,0.00025,0.247,0.868,156.336,174187,0,0.664256343014306
3,0.633,0.212,-12.092,0.0327,0.825,0.0264,0.106,0.0454,110.066,277091,0,0.22089624890746926
2,0.894,0.786,-6.172,0.277,0.117,0.000366,0.0302,0.846,140.057,179980,0,0.6881867939298112
2,0.816,0.799,-8.357,0.0602,0.0115,0.905,0.0806,0.303,119.988,292024,0,0.05267959821873256
4,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,1,0.795326410130426
4,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,1,0.8879841042719518
4,0.801,0.693,-10.239,0.073,0.0504,0.0,0.168,0.742,113.137,274133,0,0.39036143595544864
4,0.766,0.733,-7.231,0.0829,0.023,0.0473,0.0699,0.626,112.033,212900,0,0.33967451948077665
6,0.669,0.756,-5.949,0.291,0.00834,0.0,0.108,0.228,95.882,151954,0,0.5256367417017508
4,0.731,0.902,-5.151,0.0579,0.0278,0.0,0.0695,0.947,147.006,173193,0,0.6806047114471478
4,0.827,0.567,-10.078,0.203,0.0508,0.000183,0.0622,0.663,89.07,306467,0,0.2824227896579126
4,0.725,0.706,-4.766,0.121,0.193,0.0,0.109,0.667,120.042,216874,1,0.8848705667188362
3,0.479,0.714,-3.776,0.109,0.025,0.0153,0.206,0.49,98.23,172413,0,0.5557813488536005
4,0.477,0.618,-6.643,0.0259,0.0203,0.0,0.0901,0.186,158.059,241760,0,0.69786649456365
1,0.504,0.896,-6.249,0.044,0.00183,0.0284,0.134,0.0393,149.936,150753,1,0.05366802076987457
1,0.452,0.574,-8.336,0.31,0.246,0.0,0.189,0.58,92.791,207187,1,0.7494456594835438
4,0.608,0.651,-6.954,0.0375,0.0631,0.00115,0.151,0.252,89.097,191973,0,0.6773884830776226
1,0.744,0.872,-4.856,0.0865,0.0306,0.311,0.0706,0.559,127.035,260905,0,0.017120941886305183
6,0.487,0.729,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,1,0.6678176027208785
1,0.692,0.896,-4.017,0.0502,0.0121,6.59e-05,0.199,0.798,134.056,195889,0,0.40685488448875384
6,0.788,0.451,-9.313,0.318,0.118,0.0,0.134,0.302,89.97,271067,0,0.6098181923057165
5,0.653,0.766,-8.078,0.0261,0.000464,0.00206,0.103,0.396,125.113,251947,0,0.4352120841860485
4,0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693,0,0.37727934139468927
3,0.602,0.881,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587,1,0.13375284674018917
1,0.638,0.514,-7.253,0.0332,0.00151,0.0465,0.0817,0.114,127.999,258749,0,0.055926641391176826
4,0.336,0.339,-14.266,0.0332,0.883,4.71e-05,0.113,0.207,179.75,255920,0,0.6334981258209302
1,0.78,0.853,-7.812,0.311,0.0142,0.061,0.102,0.473,100.013,182387,0,0.13193388081213753
4,0.631,0.715,-6.083,0.0277,0.0299,0.0,0.121,0.42,135.826,176880,0,0.838609005594397
4,0.866,0.53,-6.347,0.0495,0.517,0.00159,0.0946,0.203,104.952,197973,1,0.9149102615480771
5,0.599,0.761,-6.887,0.0421,0.713,4.74e-06,0.349,0.712,77.015,163373,1,0.4305853702037333
6,0.7,0.547,-7.907,0.156,0.0532,0.0,0.068,0.67,157.137,237947,0,0.6720837510212525
4,0.778,0.559,-7.109,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1,0.8696876937125267
6,0.503,0.735,-4.182,0.333,0.0197,0.0,0.102,0.694,175.972,254133,0,0.693857012749436
4,0.732,0.413,-6.353,0.0702,0.287,0.0,0.0565,0.761,92.066,154456,1,0.6776567442149525
6,0.8,0.693,-5.72,0.0499,0.324,0.0,0.123,0.424,152.081,219880,1,0.831149609512018
4,0.488,0.62,-7.399,0.123,0.0895,3.03e-05,0.122,0.378,111.996,221736,0,0.7657120793088177
6,0.751,0.425,-8.947,0.0466,0.894,0.725,0.0976,0.778,75.128,65000,0,0.03673780093016568
3,0.437,0.55,-8.448,0.0671,0.261,0.000569,0.113,0.379,169.944,247507,0,0.5356717805245927
2,0.592,0.643,-5.608,0.0321,0.466,0.0,0.315,0.579,145.979,229107,1,0.8770566583450922
6,0.543,0.744,-5.907,0.0306,0.166,0.0,0.146,0.595,136.894,242666,0,0.7428482797266055
5,0.582,0.929,-3.582,0.0668,0.00134,0.0365,0.0371,0.58,106.003,197040,0,0.3188065168415036
3,0.589,0.306,-16.09,0.0303,0.761,0.72,0.146,0.535,141.923,311408,0,0.21400571145552663
4,0.591,0.705,-6.519,0.079,0.381,0.000116,0.131,0.27,121.799,215316,1,0.8716531122086217
5,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,1,0.5928303472387789
5,0.278,0.676,-8.821,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027,1,0.7031872797704346
6,0.506,0.729,-7.317,0.265,0.31,0.0,0.119,0.522,93.558,159573,0,0.5417407669370217
6,0.684,0.725,-4.343,0.0863,0.448,0.0,0.194,0.575,137.945,331413,1,0.6109793553873393
3,0.672,0.291,-7.843,0.0897,0.0375,3.89e-06,0.0925,0.417,100.961,240426,0,0.8119863100522146
6,0.603,0.777,-6.875,0.102,0.702,0.0,0.0821,0.322,145.985,212063,0,0.5475532823182812
6,0.87,0.608,-8.91,0.281,0.303,0.0,0.156,0.649,92.314,356987,0,0.26114994964714744
5,0.672,0.72,-7.781,0.035,0.0373,9.38e-06,0.0371,0.828,118.731,193347,1,0.6695195124667817
3,0.845,0.768,-5.448,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,187840,1,0.6369260216100321
5,0.381,0.842,-5.89,0.062,0.000307,0.053,0.175,0.414,162.481,208867,0,0.39298652312503307
3,0.624,0.729,-4.665,0.0269,0.0153,0.0676,0.259,0.33,132.053,217733,0,0.4748486119314137
1,0.592,0.873,-5.65,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262,1,0.15862799045422146
2,0.659,0.689,-9.87,0.0322,0.412,0.0,0.384,0.835,110.021,176222,0,0.4812568805112567
5,0.33,0.167,-11.635,0.0311,0.731,3.08e-05,0.101,0.202,164.954,245533,1,0.6769089258512452
3,0.684,0.71,-3.614,0.0779,0.0132,0.0,0.444,0.451,93.007,222187,1,0.8792097802670337
5,0.414,0.161,-22.32,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,1,0.463239813971009
3,0.547,0.795,-3.721,0.0489,0.145,0.0,0.11,0.723,118.118,186805,1,0.9243881347427582
6,0.675,0.607,-3.538,0.161,0.0302,8.67e-06,0.339,0.56,177.928,335613,0,0.4266567173695649
5,0.568,0.721,-4.725,0.0339,0.00299,0.000337,0.127,0.344,120.095,250040,0,0.7657569224289925
1,0.651,0.871,-5.204,0.0397,0.000424,0.000113,0.344,0.729,129.974,194653,0,0.1628783862731133
4,0.711,0.463,-10.601,0.112,0.891,0.0,0.137,0.698,86.974,255216,0,0.44582923111460654
4,0.71,0.545,-9.599,0.0588,0.483,0.0,0.0644,0.632,140.233,216333,0,0.6125616222523169
6,0.816,0.582,-4.141,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,1,0.7764927499630246
5,0.501,0.813,-8.192,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,138707,1,0.33189565468094506
5,0.751,0.762,-6.765,0.029,0.492,0.0,0.327,0.778,109.672,228000,0,0.6068258254945507
6,0.864,0.426,-8.392,0.0561,0.498,0.000228,0.145,0.477,129.954,215963,1,0.7293697156410537
1,0.704,0.808,-5.086,0.0354,0.0224,0.272,0.0451,0.845,129.977,285253,0,0.048798817159050954
1,0.757,0.892,-7.718,0.0602,0.0401,0.837,0.265,0.143,124.006,219658,0,0.03951131944038676
2,0.584,0.698,-3.961,0.106,0.09,6.87e-05,0.171,0.765,166.047,204787,1,0.8827200388232572
4,0.66,0.873,-6.952,0.0461,0.0152,0.00324,0.331,0.864,111.872,332307,0,0.3428588469811015
2,0.725,0.79,-2.331,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773,1,0.9313677993159735
2,0.836,0.637,-4.803,0.0367,0.535,0.0,0.129,0.875,120.025,230280,1,0.8467958227321749
1,0.668,0.875,-4.87,0.0299,0.0626,0.00226,0.219,0.0577,115.002,192000,0,0.24390561462826288
3,0.509,0.495,-6.073,0.0515,0.491,0.0,0.0773,0.684,112.893,187627,0,0.887960680559092
4,0.859,0.619,-9.434,0.121,0.137,0.0,0.0933,0.631,132.01,221818,1,0.6285341545480752
5,0.348,0.896,-7.63,0.0397,0.000216,0.0173,0.168,0.572,132.577,336827,0,0.4526806485598891
3,0.657,0.827,-4.036,0.0734,0.000704,0.00534,0.065,0.69,145.889,190186,1,0.5483175443949312
6,0.934,0.759,-5.873,0.185,0.0102,0.0,0.0818,0.927,123.857,227107,0,0.7635532248476106
1,0.72,0.567,-13.863,0.0482,0.0162,0.000684,0.0368,0.914,118.042,293107,0,0.1495577966649656
